Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","LS14250","BAT_1011",149.500000,-71.000000,180.000000,top
"C1","100uF","CP_Radial_D8.0mm_P3.50mm",118.847349,-71.000000,0.000000,top
"C2","10nF","C_0805_2012Metric",149.550000,-104.500000,0.000000,top
"J1","DS18B20","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",181.500000,-96.050000,180.000000,top
"J2","SERIAL","PinHeader_1x04_P2.54mm_Vertical",165.500000,-114.380000,0.000000,top
"JP1","BATT","PinHeader_1x02_P2.54mm_Vertical",180.470000,-71.030000,-90.000000,top
"R1","1M","R_0805_2012Metric",119.412500,-110.950000,180.000000,top
"R2","1M","R_0805_2012Metric",119.412500,-108.000000,180.000000,top
"R3","4.7k","R_0805_2012Metric",119.412500,-105.050000,180.000000,top
"U1","nice!nano nRF52840","nice_nano_teyleten_usb_flipped",136.695000,-106.830000,0.000000,top
